"","ticker","year","GHG","n","X","Company_Year","Reduction_Sentences"
"352","CBT",2020,876653,13,NA,NA,NA
"353","CBT",2021,864821,13,NA,NA,NA
"354","CBT",2022,827000,13,NA,NA,NA
"355","CE",2010,831421,13,NA,NA,NA
"356","CE",2011,1726313,13,NA,NA,NA
"357","CE",2012,1717020,13,NA,NA,NA
"358","CE",2013,1729730,13,NA,NA,NA
"359","CE",2014,1754834,13,NA,NA,NA
"360","CE",2015,1484523,13,NA,NA,NA
"361","CE",2016,1541784,13,NA,NA,NA
"362","CE",2017,1475927,13,NA,NA,NA
"363","CE",2018,1549686,13,NA,NA,NA
"364","CE",2019,2100703,13,NA,NA,NA
"365","CE",2020,1918463,13,NA,NA,NA
"366","CE",2021,1744939,13,NA,NA,NA
"367","CE",2022,1735294,13,NA,NA,NA
"368","CEIX",2010,180081,13,NA,NA,NA
"369","CEIX",2011,13471331,13,NA,NA,NA
"370","CEIX",2012,12622175,13,NA,NA,NA
"371","CEIX",2013,6337653,13,NA,NA,NA
"372","CEIX",2014,5542686.5,13,NA,NA,NA
"373","CEIX",2015,6960802,13,NA,NA,NA
"374","CEIX",2016,7284839,13,NA,NA,NA
"375","CEIX",2017,8822584,13,NA,NA,NA
"376","CEIX",2018,6949265,13,NA,NA,NA
"377","CEIX",2019,7831448,13,NA,NA,NA
"378","CEIX",2020,6205521,13,NA,NA,NA
"379","CEIX",2021,5962429,13,NA,NA,NA
"380","CEIX",2022,5609156,13,NA,NA,NA
"381","CENX",2010,745253.5207,13,NA,NA,NA
"382","CENX",2011,1737653.8021,13,NA,NA,NA
"383","CENX",2012,1267993.48874,13,NA,NA,NA
"384","CENX",2013,2021667.80446,13,NA,NA,NA
"385","CENX",2014,1978601.95151,13,NA,NA,NA
"386","CENX",2015,1771552,13,NA,NA,NA
"387","CENX",2016,1179724,13,NA,NA,NA
"388","CENX",2017,1043713,13,NA,NA,NA
"389","CENX",2018,1319631,13,NA,NA,NA
"390","CENX",2019,1404418,13,NA,NA,NA
"391","CENX",2020,1796603,13,NA,NA,NA
"392","CENX",2021,1645616,13,NA,NA,NA
"393","CENX",2022,1390627,13,NA,NA,NA
"394","CLF",2010,3186305.07,13,NA,NA,NA
"395","CLF",2011,3729807.15,13,NA,NA,NA
"396","CLF",2012,4593895.43,13,NA,NA,NA
"397","CLF",2013,5000439.87,13,NA,NA,NA
"398","CLF",2014,5249238.09,13,NA,NA,NA
"399","CLF",2015,3490892.08,13,NA,NA,NA
"400","CLF",2016,1934074.94,13,NA,NA,NA
"401","CLF",2017,2449775,13,NA,NA,NA
"402","CLF",2018,2449866,13,NA,NA,NA
"403","CLF",2019,2194702,13,NA,NA,NA
"404","CLF",2020,27234614,13,NA,NA,NA
"405","CLF",2021,28753978.52,13,NA,NA,NA
"406","CLF",2022,24977353.4,13,NA,NA,NA
"407","CLW",2010,431185,13,NA,NA,NA
"408","CLW",2011,527692,13,NA,NA,NA
"409","CLW",2012,520556,13,NA,NA,NA
"410","CLW",2013,550199,13,NA,NA,NA
"411","CLW",2014,560118,13,NA,NA,NA
"412","CLW",2015,625359,13,NA,NA,NA
"413","CLW",2016,680311,13,NA,NA,NA
"414","CLW",2017,661989,13,NA,NA,NA
"415","CLW",2018,591265,13,NA,NA,NA
"416","CLW",2019,680968,13,NA,NA,NA
"417","CLW",2020,722435,13,NA,NA,NA
"418","CLW",2021,651039,13,NA,NA,NA
"419","CLW",2022,633619,13,NA,NA,NA
"420","CMP",2010,51914,13,NA,NA,NA
"421","CMP",2011,54358,13,NA,NA,NA
"422","CMP",2012,74703,13,NA,NA,NA
"423","CMP",2013,145442,13,NA,NA,NA
"424","CMP",2014,160827,13,NA,NA,NA
"425","CMP",2015,145981,13,NA,NA,NA
"426","CMP",2016,139161,13,NA,NA,NA
"427","CMP",2017,140052,13,NA,NA,NA
"428","CMP",2018,144273,13,NA,NA,NA
"429","CMP",2019,150019,13,NA,NA,NA
"430","CMP",2020,156840,13,NA,NA,NA
"431","CMP",2021,145217,13,NA,NA,NA
"432","CMP",2022,146612,13,NA,NA,NA
"433","CMS",2010,21444429.5396,13,NA,NA,NA
"434","CMS",2011,19465334.7827,13,NA,NA,NA
"435","CMS",2012,19196094.1773,13,NA,NA,NA
"436","CMS",2013,20227165.6225,13,NA,NA,NA
"437","CMS",2014,19133701.3059,13,NA,NA,NA
"438","CMS",2015,21969052.2981,13,NA,NA,NA
"439","CMS",2016,17350967.573,13,NA,NA,NA
"440","CMS",2017,16939771.4732,13,NA,NA,NA
"441","CMS",2018,17288138.1188,13,NA,NA,NA
"442","CMS",2019,17647856.2792,13,NA,NA,NA
"443","CMS",2020,15600288.7581,13,NA,NA,NA
"444","CMS",2021,18137320.0604,13,NA,NA,NA
"445","CMS",2022,18282529.7604,13,NA,NA,NA
"446","CNP",2010,507942,13,NA,NA,NA
"447","CNP",2011,2456681,13,NA,NA,NA
"448","CNP",2012,2522153,13,NA,NA,NA
"449","CNP",2013,2292539,13,NA,NA,NA
"450","CNP",2014,463125,13,NA,NA,NA
"451","CNP",2015,464878,13,NA,NA,NA
"452","CNP",2016,461894,13,NA,NA,NA
"453","CNP",2017,430852,13,NA,NA,NA
"454","CNP",2018,414436,13,NA,NA,NA
"455","CNP",2019,396922,13,NA,NA,NA
"456","CNP",2020,4095772,13,NA,NA,NA
"457","CNP",2021,6114180,13,NA,NA,NA
"458","CNP",2022,4800216,13,NA,NA,NA
"459","COP",2010,31071341.793,13,NA,NA,NA
"460","COP",2011,40688838.551525,13,NA,NA,NA
"461","COP",2012,17388987.8273,13,NA,NA,NA
"462","COP",2013,14800946.1072,13,NA,NA,NA
"463","COP",2014,12291565.3085,13,NA,NA,NA
"464","COP",2015,10811746.7638,13,NA,NA,NA
"465","COP",2016,10143259.9995,13,NA,NA,NA
"466","COP",2017,7269207.7722,13,NA,NA,NA
"467","COP",2018,7979803.7414,13,NA,NA,NA
"468","COP",2019,9219346.8342,13,NA,NA,NA
"469","COP",2020,7857005.0786,13,NA,NA,NA
"470","COP",2021,9610750.1884,13,NA,NA,NA
"471","COP",2022,9476815.0118,13,NA,NA,NA
"472","CRS",2010,152937,13,NA,NA,NA
"473","CRS",2011,248699,13,NA,NA,NA
"474","CRS",2012,235152,13,NA,NA,NA
"475","CRS",2013,228442,13,NA,NA,NA
"476","CRS",2014,237420,13,NA,NA,NA
"477","CRS",2015,230621,13,NA,NA,NA
"478","CRS",2016,227267,13,NA,NA,NA
"479","CRS",2017,220771,13,NA,NA,NA
"480","CRS",2018,249235,13,NA,NA,NA
"481","CRS",2019,256816,13,NA,NA,NA
"482","CRS",2020,198344,13,NA,NA,NA
"483","CRS",2021,211129,13,NA,NA,NA
"484","CRS",2022,221376,13,NA,NA,NA
"485","CTB",2010,87045,13,NA,NA,NA
"486","CTB",2011,87885,13,NA,NA,NA
"487","CTB",2012,89558,13,NA,NA,NA
"488","CTB",2013,85287,13,NA,NA,NA
